"formula","depth","Site","length","drying","saturation"
"C8H12O6","5cm-end","CPCRW","90d","CW","instant chemistry"
"C8H12O6","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C8H12O6","0-5cm","SR","30d","CW","instant chemistry"
"C8H12O6","0-5cm","SR","30d","FAD","instant chemistry"
"C8H12O6","0-5cm","SR","90d","CW","instant chemistry"
"C8H12O6","0-5cm","SR","90d","FAD","instant chemistry"
"C8H12O6","5cm-end","SR","30d","CW","instant chemistry"
"C8H12O6","5cm-end","SR","30d","FAD","instant chemistry"
"C8H12O6","5cm-end","SR","90d","CW","instant chemistry"
"C8H12O6","5cm-end","SR","90d","FAD","instant chemistry"
"C12H12O3","5cm-end","CPCRW","30d","FAD","saturated"
"C12H12O3","0-5cm","SR","90d","CW","saturated"
"C12H12O3","0-5cm","SR","90d","FAD","saturated"
"C12H12O3","0-5cm","SR","90d","FAD","instant chemistry"
"C12H12O3","5cm-end","SR","90d","CW","instant chemistry"
"C9H16O5","0-5cm","CPCRW","150d","FAD","saturated"
"C9H16O5","0-5cm","CPCRW","150d","CW","saturated"
"C9H16O5","0-5cm","CPCRW","30d","CW","saturated"
"C9H16O5","0-5cm","CPCRW","30d","FAD","saturated"
"C9H16O5","0-5cm","CPCRW","90d","CW","saturated"
"C9H16O5","0-5cm","CPCRW","90d","FAD","saturated"
"C9H16O5","5cm-end","CPCRW","150d","CW","saturated"
"C9H16O5","5cm-end","CPCRW","150d","FAD","saturated"
"C9H16O5","5cm-end","CPCRW","30d","CW","saturated"
"C9H16O5","5cm-end","CPCRW","30d","FAD","saturated"
"C9H16O5","5cm-end","CPCRW","90d","CW","saturated"
"C9H16O5","5cm-end","CPCRW","90d","FAD","saturated"
"C9H16O5","0-5cm","SR","150d","CW","saturated"
"C9H16O5","0-5cm","SR","150d","FAD","saturated"
"C9H16O5","0-5cm","SR","30d","CW","saturated"
"C9H16O5","0-5cm","SR","30d","FAD","saturated"
"C9H16O5","0-5cm","SR","90d","CW","saturated"
"C9H16O5","0-5cm","SR","90d","FAD","saturated"
"C9H16O5","5cm-end","SR","150d","CW","saturated"
"C9H16O5","5cm-end","SR","150d","FAD","saturated"
"C9H16O5","5cm-end","SR","30d","CW","saturated"
"C9H16O5","5cm-end","SR","30d","FAD","saturated"
"C9H16O5","5cm-end","SR","90d","CW","saturated"
"C9H16O5","5cm-end","SR","90d","FAD","saturated"
"C9H16O5","0-5cm","CPCRW","90d","CW","instant chemistry"
"C9H16O5","0-5cm","CPCRW","90d","FAD","instant chemistry"
"C9H16O5","5cm-end","CPCRW","90d","CW","instant chemistry"
"C9H16O5","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C9H16O5","0-5cm","SR","30d","CW","instant chemistry"
"C9H16O5","0-5cm","SR","30d","FAD","instant chemistry"
"C9H16O5","0-5cm","SR","90d","CW","instant chemistry"
"C9H16O5","0-5cm","SR","90d","FAD","instant chemistry"
"C9H16O5","5cm-end","SR","30d","CW","instant chemistry"
"C9H16O5","5cm-end","SR","30d","FAD","instant chemistry"
"C9H16O5","5cm-end","SR","90d","CW","instant chemistry"
"C9H16O5","5cm-end","SR","90d","FAD","instant chemistry"
"C10H20O4","0-5cm","CPCRW","150d","FAD","saturated"
"C10H20O4","5cm-end","CPCRW","150d","FAD","saturated"
"C10H20O4","0-5cm","SR","150d","CW","saturated"
"C10H20O4","0-5cm","CPCRW","90d","CW","instant chemistry"
"C10H20O4","0-5cm","CPCRW","90d","FAD","instant chemistry"
"C10H20O4","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C10H20O4","0-5cm","SR","30d","CW","instant chemistry"
"C10H20O4","0-5cm","SR","30d","FAD","instant chemistry"
"C10H20O4","0-5cm","SR","90d","CW","instant chemistry"
"C10H20O4","0-5cm","SR","90d","FAD","instant chemistry"
"C10H20O4","5cm-end","SR","30d","CW","instant chemistry"
"C10H20O4","5cm-end","SR","30d","FAD","instant chemistry"
"C10H20O4","5cm-end","SR","90d","CW","instant chemistry"
"C10H20O4","5cm-end","SR","90d","FAD","instant chemistry"
"C10H7O4N1","5cm-end","CPCRW","150d","FAD","saturated"
"C10H7O4N1","5cm-end","SR","90d","FAD","saturated"
"C10H7O4N1","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C10H7O4N1","5cm-end","SR","30d","FAD","instant chemistry"
"C10H6O5","0-5cm","CPCRW","150d","FAD","saturated"
"C10H6O5","0-5cm","CPCRW","150d","CW","saturated"
"C10H6O5","0-5cm","CPCRW","30d","CW","saturated"
"C10H6O5","0-5cm","CPCRW","30d","FAD","saturated"
"C10H6O5","0-5cm","CPCRW","90d","CW","saturated"
"C10H6O5","0-5cm","CPCRW","90d","FAD","saturated"
"C10H6O5","5cm-end","CPCRW","150d","CW","saturated"
"C10H6O5","5cm-end","CPCRW","150d","FAD","saturated"
"C10H6O5","5cm-end","CPCRW","30d","CW","saturated"
"C10H6O5","5cm-end","CPCRW","30d","FAD","saturated"
"C10H6O5","5cm-end","CPCRW","90d","CW","saturated"
"C10H6O5","5cm-end","CPCRW","90d","FAD","saturated"
"C10H6O5","0-5cm","SR","150d","CW","saturated"
"C10H6O5","0-5cm","SR","150d","FAD","saturated"
