"DATETIME","ALARM_STATUS","MPVPosition","CH4_dry","CO2_dry","h2o_reported","Sample_number","Elapsed_seconds","Core"
2018-12-04 20:09:14,0,1,1.893799638,624.07783411,2.9320386245,461,102,"18"
2018-12-04 20:09:16,0,1,1.893799638,624.07783411,2.9320386245,461,104,"18"
2018-12-04 20:09:17,0,1,1.893799638,624.07783411,2.9320386245,461,105,"18"
2018-12-04 20:09:21,0,1,1.9034196736,605.44659019,2.9354988406,461,109,"18"
2018-12-04 20:09:23,0,1,1.9034196736,605.44659019,2.9354988406,461,111,"18"
2018-12-04 20:09:24,0,1,1.9034196736,605.44659019,2.9354988406,461,112,"18"
2018-12-04 20:10:00,0,2,1.9817970106,490.01425482,0.74907229533,464,0,"20"
2018-12-04 20:10:01,0,2,1.9817970106,490.01425482,0.74907229533,464,1,"20"
2018-12-04 20:10:06,0,2,1.9930432845,529.82497721,2.8244680301,464,6,"20"
2018-12-04 20:10:08,0,2,1.9930432845,529.82497721,2.8244680301,464,8,"20"
2018-12-04 20:10:09,0,2,1.9930432845,529.82497721,2.8244680301,464,9,"20"
2018-12-04 20:10:14,0,2,1.1846243391,1202.1519741,2.9283879469,464,14,"20"
2018-12-04 20:10:15,0,2,1.1846243391,1202.1519741,2.9283879469,464,15,"20"
2018-12-04 20:10:16,0,2,1.1846243391,1202.1519741,2.9283879469,464,16,"20"
2018-12-04 20:10:21,0,2,1.2744134693,1157.2753998,2.946295823,464,21,"20"
2018-12-04 20:10:23,0,2,1.2744134693,1157.2753998,2.946295823,464,23,"20"
2018-12-04 20:10:24,0,2,1.2744134693,1157.2753998,2.946295823,464,24,"20"
2018-12-04 20:10:28,0,2,1.3970418526,1076.3244717,2.9516661364,464,28,"20"
2018-12-04 20:10:30,0,2,1.3970418526,1076.3244717,2.9516661364,464,30,"20"
2018-12-04 20:10:31,0,2,1.3970418526,1076.3244717,2.9516661364,464,31,"20"
2018-12-04 20:10:35,0,2,1.5227907082,983.63476786,2.9548440905,464,35,"20"
