Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
239.125474998227,0,0,0,0,0,0,0,0,,None,240.132751465107,0,0,NA,NA,NA,NA,NA,NA,NA,238.858465356596,0.141534643403787,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.125661308574,0,0,0,0,0,0,0,0,,None,240.132937775454,0,0,NA,NA,NA,NA,NA,NA,NA,238.858651458907,0.141348541092583,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.128888356935,13,20,4,0,0,0,0,0,CHO,Protein,240.136164823815,-0.0237091097742986,1,C13H20O4,0,0.181818181818182,4,0,0,86.6076923076923,238.861874903917,0.138125096082604,-0.923076923076923,0.307692307692308,1.53846153846154,0,0,NA,Protein,Protein,Other
239.129740485463,0,0,0,0,0,0,0,0,,None,240.137016952343,0,0,NA,NA,NA,NA,NA,NA,NA,238.862726080951,0.137273919048937,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.165325473538,14,24,3,0,0,0,0,0,CHO,Lipid,240.172601940418,-0.238593901171904,1,C14H24O3,0,0.12,3,0,0,96.9428571428571,238.89827133451,0.101728665489532,-1.28571428571429,0.214285714285714,1.71428571428571,0,0,NA,Lipid,Lipid,Other
239.200587714713,0,0,0,0,0,0,0,0,,None,240.207864181593,0,0,NA,NA,NA,NA,NA,NA,NA,238.933494201552,0.06650579844802,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.209297437699,0,0,0,0,0,0,0,0,,None,240.216573904579,0,0,NA,NA,NA,NA,NA,NA,NA,238.942194199183,0.0578058008165101,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.226575222421,0,0,0,0,0,0,0,0,,None,240.233851689301,0,0,NA,NA,NA,NA,NA,NA,NA,238.959452691377,0.040547308623303,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.281282098567,0,0,0,0,0,0,0,0,,None,240.288558565447,0,0,NA,NA,NA,NA,NA,NA,NA,239.014098481336,0.985901518663923,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.287175023751,0,0,0,0,0,0,0,0,,None,240.294451490631,0,0,NA,NA,NA,NA,NA,NA,NA,239.019984826427,0.980015173572838,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.312176750223,0,0,0,0,0,0,0,0,,None,240.319453217103,0,0,NA,NA,NA,NA,NA,NA,NA,239.044958635748,0.955041364251997,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.383718864239,0,0,0,0,0,0,0,0,,None,240.390995331119,0,0,NA,NA,NA,NA,NA,NA,NA,239.1164208652,0.883579134799618,NA,NA,NA,NA,NA,NA,NA,NA,NA
